Home \ Away	CAP	CAM	AVA	BAH	BOT	CEA	CHA	COR	CRU	CSA	FLA	FLU	FOR	GOI	GRE	INT	PAL	SAN	SPA	VAS
Athletico Paranaense	-	1-0	0-1	1-0	1-0	1-0	1-1	0-2	0-0	1-0	0-2	3-0	4-1	4-1	2-0	1-0	1-1	1-0	0-1	4-1
Atlético Mineiro	0-1	-	2-1	0-1	2-0	2-1	0-2	2-1	2-0	4-0	2-1	2-1	2-2	2-0	1-4	1-3	0-2	2-0	1-1	1-2
Avaí	0-0	1-0	-	0-2	0-2	1-2	0-1	1-1	2-2	0-0	0-3	1-1	1-3	0-0	1-1	0-2	1-2	1-2	0-0	0-0
Bahia	1-2	1-1	1-0	-	2-0	1-2	1-1	3-2	0-0	1-0	3-0	3-2	1-1	1-1	1-0	2-3	1-1	0-1	0-0	1-1
Botafogo	2-1	2-1	2-0	3-2	-	1-1	0-0	1-0	0-2	2-1	0-1	0-1	1-0	3-1	0-1	0-1	0-1	0-1	1-2	1-0
Ceará	1-1	1-2	1-0	0-0	0-0	-	4-1	0-1	0-0	4-0	0-3	2-0	2-1	0-1	2-1	2-0	2-0	0-1	1-1	1-1
Chapecoense	1-1	1-2	1-0	0-0	0-1	1-0	-	0-1	1-1	3-0	0-1	1-1	1-3	2-2	0-1	2-0	1-2	0-1	0-3	1-2
Corinthians	2-2	1-0	3-0	2-1	2-0	2-2	1-0	-	1-2	1-0	1-1	1-2	3-2	2-0	0-0	0-0	1-1	0-0	1-0	1-0
Cruzeiro	0-2	0-0	0-0	1-1	0-0	1-0	1-2	0-0	-	0-1	1-2	0-0	1-1	2-1	1-4	1-1	0-2	2-0	1-0	1-0
CSA	0-4	2-2	3-1	1-2	1-2	1-0	2-0	2-1	1-1	-	0-2	0-1	0-2	1-0	0-0	1-0	1-1	0-0	1-2	0-3
Flamengo	3-2	3-1	6-1	3-1	3-2	4-1	2-1	4-1	3-1	1-0	-	2-0	2-0	6-1	3-1	3-1	3-0	1-0	0-0	4-4
Fluminense	1-2	1-1	0-1	2-0	0-1	1-1	1-1	1-0	4-1	0-1	0-0	-	0-0	0-1	2-1	2-1	1-0	1-1	1-2	0-0
Fortaleza	2-1	2-2	2-0	2-1	1-0	1-0	2-0	1-3	2-1	3-0	1-2	0-1	-	2-0	2-1	0-1	0-1	2-1	0-1	1-1
Goiás	2-1	0-0	2-0	4-3	1-0	2-1	3-1	2-2	1-0	1-0	2-2	3-0	1-2	-	3-2	2-1	1-2	0-3	1-2	0-1
Grêmio	2-1	1-0	6-1	0-1	3-0	2-1	3-3	0-0	2-0	2-1	0-1	4-5	1-0	3-0	-	2-0	1-1	1-2	3-0	2-1
Internacional	1-1	2-1	2-0	3-1	3-2	1-0	1-0	0-0	3-1	2-0	2-1	2-1	2-2	1-2	1-1	-	1-1	0-0	1-0	0-1
Palmeiras	1-0	1-1	2-0	2-2	1-0	1-0	1-0	1-1	1-0	6-2	1-3	3-0	4-0	5-1	1-2	1-0	-	4-0	3-0	1-1
Santos	1-1	3-1	3-1	1-0	4-1	2-1	2-0	1-0	4-1	2-0	4-0	2-1	3-3	6-1	0-3	0-0	2-0	-	1-1	3-0
São Paulo	0-1	2-0	1-0	0-0	2-0	1-0	4-0	1-0	1-1	1-1	1-1	0-2	2-1	0-1	0-0	2-1	1-1	3-2	-	1-0
Vasco da Gama	1-1	1-2	1-1	0-2	2-1	1-0	1-1	1-1	1-0	0-0	1-4	2-1	1-0	1-1	1-3	2-1	1-2	0-1	2-0	-
